score,steps
78,1764
79,1767
80,1774
81,1782
82,1792
83,1800
84,1808
85,1811
86,1819
87,1822
88,1828
89,1829
90,1836
91,1840
92,1843
93,1847
94,1849
95,1851
96,1853
97,1854
1,7
2,46
3,100
4,159
5,232
6,248
7,282
8,303
9,354
10,402
11,474
12,516
13,573
14,653
15,724
16,764
17,820
18,848
19,874
20,921
21,983
22,1042
23,1053
24,1126
25,1137
26,1200
27,1202
28,1254
29,1258
30,1314
31,1364
32,1403
33,1411
34,1455
35,1508
36,1544
37,1559
38,1586
39,1591
40,1596
41,1597
42,1639
43,1657
44,1695
45,1696
46,1737
47,1746
48,1765
49,1793
50,1828
51,1871
52,1898
53,1904
54,1925
55,1947
56,1988
57,2004
58,2006
59,2012
60,2048
61,2057
62,2072
63,2081
64,2090
65,2115
66,2142
67,2153
68,2177
69,2204
70,2213
71,2240
72,2263
73,2277
74,2289
75,2300
76,2304
77,2311
78,2329
79,2330
80,2344
81,2352
82,2366
83,2367
84,2371
85,2383
86,2386
87,2396
88,2401
89,2407
90,2412
91,2414
92,2418
93,2421
94,2422
95,2424
96,2425
97,2426
1,78
2,168
3,191
4,260
5,317
6,328
7,383
8,391
9,394
10,405
11,469
12,507
13,523
14,589
15,656
16,724
17,764
18,769
19,819
20,872
21,901
22,977
23,1043
24,1066
25,1088
26,1132
27,1184
28,1221
29,1287
30,1293
31,1301
32,1343
33,1375
34,1430
35,1460
36,1487
37,1500
38,1523
39,1571
40,1606
41,1610
42,1613
43,1640
44,1645
45,1678
46,1686
47,1725
48,1774
49,1798
50,1806
51,1818
52,1862
53,1869
54,1880
55,1894
56,1895
57,1926
58,1927
59,1928
60,1965
61,1966
62,1974
63,1991
64,2010
65,2039
66,2055
67,2072
68,2096
69,2113
70,2123
71,2124
72,2130
73,2142
74,2156
75,2169
76,2178
77,2186
78,2190
79,2198
80,2210
81,2216
82,2224
83,2229
84,2238
85,2241
86,2243
87,2244
88,2247
89,2248
90,2251
91,2257
92,2261
93,2266
94,2270
95,2271
96,2272
97,2273
1,9
2,36
3,70
4,125
5,131
6,136
7,224
8,295
9,327
10,400
11,446
12,464
13,524
14,560
15,569
16,624
17,645
18,688
19,760
20,788
21,832
22,907
23,935
24,988
25,998
26,1013
27,1082
28,1087
29,1122
30,1125
31,1141
32,1168
33,1220
34,1223
35,1236
36,1257
37,1295
38,1348
39,1396
40,1453
41,1490
42,1539
43,1541
44,1560
45,1585
46,1628
